0,3,0;0.33,0
0.033,3,0;0.33,0
0.066,3,0;0.33,0
0.099,3,0;0.33,0
0.132,3,0;0.33,0
0.165,3,0;0.33,0
0.198,3,0;0.33,0
0.231,3,0;0.33,0
0.264,3,0;0.33,0
0.297,3,0;0.33,0
0.33,3,0;0.33,0
0.363,3,0;0.33,0
0.396,3,0;0.33,0
0.429,3,0;0.33,0
0.462,3,0;0.33,0
0.495,3,0;0.8,0.7
0.574935,3.0028,0.07;0.8,0.7
0.654478,3.01118,0.14;0.8,0.7
0.73324,3.02511,0.21;0.8,0.7
0.810835,3.04451,0.28;0.8,0.7
0.886883,3.06929,0.35;0.8,0.7
0.961012,3.09933,0.42;0.8,0.7
1.03286,3.13448,0.49;0.8,0.7
1.10207,3.17457,0.56;0.8,0.7
1.16831,3.2194,0.63;0.8,0.7
1.23125,3.26875,0.7;0.8,0.7
1.29058,3.32239,0.77;0.8,0.7
1.34602,3.38004,0.84;0.8,0.7
1.39729,3.44143,0.91;0.8,0.7
1.44414,3.50626,0.98;0.8,0.7
1.48634,3.5742,1.05;0.7,0
1.52117,3.63492,1.05;0.7,0
1.556,3.69564,1.05;0.7,0
1.59083,3.75636,1.05;0.7,0
1.62566,3.81708,1.05;0.7,0
1.66049,3.8778,1.05;0.7,0
1.69532,3.93852,1.05;0.7,0
1.73015,3.99924,1.05;0.7,0
1.76498,4.05996,1.05;0.7,0
1.79981,4.12068,1.05;0.7,0
1.83464,4.1814,1.05;0.7,0
1.86947,4.24212,1.05;0.7,0
1.9043,4.30284,1.05;0.7,0
1.93913,4.36356,1.05;0.7,0
1.97396,4.42428,1.05;0.7,0
2.00879,4.485,1.05;0.7,0
2.04362,4.54572,1.05;0.7,0
2.07845,4.60644,1.05;0.7,0
2.11328,4.66716,1.05;0.7,0
2.14811,4.72788,1.05;0.7,0
2.18294,4.7886,1.05;0.7,0
2.21777,4.84932,1.05;0.7,0
2.2526,4.91004,1.05;0.7,0
2.28743,4.97076,1.05;0.7,0
2.32226,5.03148,1.05;0.7,0
2.35709,5.0922,1.05;0.7,0
2.39192,5.15291,1.05;0.7,0
2.42675,5.21363,1.05;0.7,0
2.46158,5.27435,1.05;0.7,0
2.49641,5.33507,1.05;0.7,0
2.53124,5.39579,1.05;0.7,0
2.56607,5.45651,1.05;0.7,0
2.6009,5.51723,1.05;0.7,0
2.63573,5.57795,1.05;0.7,0
2.67056,5.63867,1.05;0.7,0
2.70539,5.69939,1.05;0.7,0
2.74022,5.76011,1.05;0.7,0
2.77505,5.82083,1.05;0.7,0
2.80988,5.88155,1.05;0.7,0
2.84471,5.94227,1.05;0.7,0
2.87954,6.00299,1.05;0.7,0
2.91437,6.06371,1.05;0.7,0
2.9492,6.12443,1.05;0.7,0
2.98403,6.18515,1.05;0.7,0
3.01886,6.24587,1.05;0.7,0
3.05369,6.30659,1.05;0.7,0
3.08852,6.36731,1.05;0.7,0
3.12335,6.42803,1.05;0.7,0
3.15818,6.48875,1.05;0.7,0
3.19301,6.54947,1.05;0.7,0
3.22784,6.61019,1.05;0.7,0
3.26267,6.67091,1.05;0.7,0
3.2975,6.73163,1.05;0.7,0
3.33233,6.79234,1.05;0.7,0
3.36716,6.85306,1.05;0.7,0
3.40199,6.91378,1.05;0.7,0
3.43682,6.9745,1.05;0.7,0
3.47165,7.03522,1.05;0.7,0
3.50648,7.09594,1.05;0.7,0
3.54131,7.15666,1.05;0.7,0
3.57614,7.21738,1.05;0.7,0
3.61097,7.2781,1.05;0.7,0
3.6458,7.33882,1.05;0.7,0
3.68063,7.39954,1.05;0.7,0
3.71546,7.46026,1.05;0.7,0
3.75029,7.52098,1.05;0.7,0
3.78512,7.5817,1.05;0.7,0
3.81995,7.64242,1.05;0.7,0
3.85478,7.70314,1.05;0.7,0
3.88961,7.76386,1.05;0.7,0
3.92444,7.82458,1.05;0.7,0
3.95927,7.8853,1.05;0.7,0
3.9941,7.94602,1.05;0.7,0
4.02893,8.00674,1.05;0.7,0
4.06376,8.06746,1.05;0.7,0
