1,1,1.0472;0.9,0.9
1.04143,1.07986,1.1372;0.9,0.9
1.07552,1.16312,1.2272;0.9,0
1.10584,1.24786,1.2272;0.9,0.6
1.1336,1.33346,1.2872;0.9,0.6
1.15618,1.42057,1.3472;0.9,0.6
1.17349,1.50887,1.4072;0.9,-0.3
1.18948,1.59744,1.3772;0.9,0.6
1.20413,1.68622,1.4372;0.9,-0.3
1.21746,1.77523,1.4072;0.9,-0.3
1.23345,1.86379,1.3772;0.9,0.6
1.2481,1.95258,1.4372;0.9,-0.3
1.26143,2.04158,1.4072;0.9,-0.3
1.27742,2.13015,1.3772;0.9,0
1.29473,2.21847,1.3772;0.9,0
1.31205,2.30679,1.3772;0.9,0.9
1.32537,2.39576,1.4672;0.9,0.9
1.33064,2.48558,1.5572;0.9,0.9
1.32781,2.5755,1.6472;0.9,0.6
1.31825,2.66498,1.7072;0.9,0.6
1.30335,2.75373,1.7672;0.9,0.6
1.28315,2.84142,1.8272;0.9,-0.9
1.26427,2.92938,1.7372;0.9,-0.9
1.25338,3.01869,1.6472;0.9,-0.9
1.25055,3.10861,1.5572;0.9,-0.3
1.25312,3.19857,1.5272;0.9,-0.3
1.25839,3.28842,1.4972;0.9,-0.3
1.26636,3.37806,1.4672;0.9,-0.3
1.27701,3.46742,1.4372;0.9,-0.3
1.29033,3.55643,1.4072;0.9,-0.3
1.30632,3.64499,1.3772;0.9,0.9
1.31964,3.73397,1.4672;0.9,0
1.32895,3.82349,1.4672;0.9,0
1.33825,3.91301,1.4672;0.9,0
1.34756,4.00253,1.4672;0.9,0
1.35687,4.09204,1.4672;0.9,0
1.36618,4.18156,1.4672;0.9,0
1.37548,4.27108,1.4672;0.9,0
1.38479,4.36059,1.4672;0.9,0
1.3941,4.45011,1.4672;0.9,0
1.4034,4.53963,1.4672;0.9,0
1.41271,4.62915,1.4672;0.9,0
1.42202,4.71866,1.4672;0.9,0
1.43133,4.80818,1.4672;0.9,0
1.44063,4.8977,1.4672;0.9,0
1.44994,4.98722,1.4672;0.9,0
1.45925,5.07673,1.4672;0.9,0
1.46855,5.16625,1.4672;0.9,0
1.47786,5.25577,1.4672;0.9,0
1.48717,5.34529,1.4672;0.9,0
1.49648,5.4348,1.4672;0.9,0
1.50578,5.52432,1.4672;0.9,0
1.51509,5.61384,1.4672;0.9,0
1.5244,5.70336,1.4672;0.9,0
1.53371,5.79287,1.4672;0.9,0
1.54301,5.88239,1.4672;0.9,0
1.55232,5.97191,1.4672;0.9,0.9
1.55759,6.06172,1.5572;0.9,0.9
1.55476,6.15165,1.6472;0.9,0.9
1.54387,6.24096,1.7372;0.9,0.9
1.52499,6.32892,1.8272;0.9,0
1.50217,6.41598,1.8272;0.9,0
1.47934,6.50304,1.8272;0.9,0
1.45652,6.5901,1.8272;0.9,0
1.43369,6.67716,1.8272;0.9,0
1.41087,6.76421,1.8272;0.9,0
1.38805,6.85127,1.8272;0.9,0
1.36522,6.93833,1.8272;0.9,0
1.3424,7.02539,1.8272;0.9,0
1.31957,7.11244,1.8272;0.9,0
1.29675,7.1995,1.8272;0.9,-0.9
1.27787,7.28747,1.7372;0.9,0
1.26296,7.37623,1.7372;0.9,-0.9
1.25207,7.46553,1.6472;0.9,-0.9
1.24924,7.55546,1.5572;0.9,-0.9
1.25451,7.64527,1.4672;0.9,-0.9
1.26783,7.73425,1.3772;-0.9,-0.9
1.24657,7.64683,1.2872;-0.3,-0.9
1.23689,7.61845,1.1972;-0.9,-0.9
1.20032,7.53624,1.1072;-0.9,-0.9
1.15651,7.45766,1.0172;-0.3,-0.9
1.13961,7.43289,0.927198;0.6,-0.9
1.17772,7.4792,0.837198;0.6,-0.9
