1,1,1.0472;0.9,0.9
1.10199,1.24911,1.3172;0.9,0.6
1.14591,1.51515,1.4972;0.9,-0.3
1.17784,1.78316,1.4072;0.9,-0.3
1.23374,2.04722,1.3172;0.9,0
1.30148,2.30858,1.3172;0.9,0.9
1.33333,2.57587,1.5872;0.9,0.9
1.29273,2.84197,1.8572;0.9,-0.9
1.25213,3.10807,1.5872;0.9,-0.3
1.25985,3.37787,1.4972;0.9,-0.3
1.29178,3.64588,1.4072;0.9,-0.3
1.34768,3.90994,1.3172;0.9,0.6
1.39159,4.17598,1.4972;0.9,0
1.41145,4.44525,1.4972;0.9,0
1.4313,4.71452,1.4972;0.9,0
1.45116,4.98379,1.4972;0.9,0
1.47101,5.25305,1.4972;0.9,0
1.49086,5.52232,1.4972;0.9,0
1.51072,5.79159,1.4972;0.9,0
1.53057,6.06086,1.4972;0.9,0.9
1.51405,6.32953,1.7672;0.9,0.9
1.42647,6.58407,2.0372;0.9,-0.9
1.33889,6.8386,1.7672;0.9,0.6
1.26271,7.09726,1.9472;0.9,-0.9
1.19836,7.35863,1.6772;0.9,-0.9
1.20606,7.6277,1.4072;0.9,-0.9
1.28525,7.88497,1.1372;-0.9,-0.9
1.14031,7.65814,0.867198;-0.3,-0.9
1.07358,7.59816,0.597198;0.9,-0.9
1.31451,7.71819,0.327198;0.9,-0.9
1.57874,7.76961,0.0571976;0.9,0
1.8483,7.78505,0.0571976;0.9,0
2.11785,7.80048,0.0571976;0.9,0
2.38741,7.81592,0.0571976;0.9,0
2.65697,7.83135,0.0571976;0.9,0
2.92653,7.84679,0.0571976;0.9,0
3.19609,7.86222,0.0571976;0.9,0
3.46565,7.87766,0.0571976;0.9,0
3.73521,7.89309,0.0571976;0.9,0
4.00476,7.90852,0.0571976;0.9,-0.9
4.27313,7.8876,-0.212802;0.9,0.9
4.5415,7.86668,0.0571976;0.9,0
4.81105,7.88212,0.0571976;0.9,0
5.08061,7.89755,0.0571976;0.9,0
5.35017,7.91299,0.0571976;0.9,0
5.61973,7.92842,0.0571976;0.9,0
5.88929,7.94386,0.0571976;0.9,0
6.15885,7.95929,0.0571976;0.9,0
6.42841,7.97473,0.0571976;0.9,0
6.69796,7.99016,0.0571976;0.9,0
6.96752,8.0056,0.0571976;0.9,0
7.23708,8.02103,0.0571976;0.9,0
7.50664,8.03647,0.0571976;-0.9,0.9
7.24242,7.98505,0.327198;-0.9,0.9
7.00148,7.86502,0.597198;-0.9,0.6
6.79304,7.69397,0.777198;-0.9,-0.6
6.58461,7.52292,0.597198;-0.9,0.6
6.37617,7.35187,0.777198;-0.9,-0.6
6.16774,7.18082,0.597198;-0.9,0.6
5.9593,7.00977,0.777198;-0.9,-0.6
5.75087,6.83872,0.597198;-0.9,0.6
5.54243,6.66767,0.777198;-0.9,-0.9
5.32687,6.50644,0.507198;-0.9,0.6
5.10391,6.35482,0.687198;-0.3,0.9
5.04284,6.28908,0.957198;-0.9,0.9
4.91887,6.05014,1.2272;-0.9,0.6
4.85122,5.78913,1.4072;-0.9,0
4.80725,5.52274,1.4072;-0.9,0
4.76327,5.25634,1.4072;-0.9,0
4.7193,4.98995,1.4072;-0.9,0
4.67532,4.72355,1.4072;-0.9,0.9
4.66763,4.45448,1.6772;-0.9,0.6
4.72024,4.19003,1.8572;-0.9,-0.9
4.76084,3.92393,1.5872;-0.9,0
4.76527,3.65396,1.5872;-0.9,0.9
4.80587,3.38786,1.8572;-0.9,0.6
4.90498,3.1371,2.0372;-0.9,0
5.02639,2.89594,2.0372;-0.9,0.6
5.1688,2.66698,2.2172;-0.3,0.9
5.23199,2.60328,2.4872;-0.9,0.9
5.46567,2.46967,2.7572;-0.9,0.9
5.72652,2.40323,3.0272;-0.9,0
5.99476,2.37241,3.0272;-0.9,0
6.26299,2.34159,3.0272;-0.9,0
6.53123,2.31077,3.0272;-0.9,0
6.79946,2.27995,3.0272;-0.9,0
7.0677,2.24913,3.0272;-0.9,0.6
7.33725,2.24256,-3.07599;-0.9,0.6
7.60363,2.28434,-2.89599;-0.9,-0.9
7.87117,2.31406,3.1172;0.9,-0.6
7.6033,2.34483,2.9372;0.9,0.6
7.33542,2.37561,3.1172;0.9,-0.6
7.06755,2.40639,2.9372;0.9,0.6
6.79968,2.43717,3.1172;0.9,-0.6
6.5318,2.46795,2.9372;0.9,0.6
6.26393,2.49872,3.1172;0.9,-0.6
5.99606,2.5295,2.9372;0.9,0.6
5.72818,2.56028,3.1172;0.9,-0.6
5.46031,2.59106,2.9372;0.9,-0.9
5.20648,2.68067,2.6672;0.9,-0.9
4.98576,2.83474,2.3972;0.9,-0.9
4.81412,3.04211,2.1272;0.9,-0.9
4.70402,3.28774,1.8572;0.9,0
4.62774,3.54674,1.8572;0.9,0
4.55147,3.80574,1.8572;0.9,0.9
4.44136,4.05137,2.1272;0.9,0.6
4.27895,4.26661,2.3072;0.9,0.9
4.07297,4.4399,2.5772;0.9,0.9
3.82822,4.55196,2.8472;0.9,0.6
3.5642,4.60669,3.0272;0.9,-0.9
3.30335,4.67313,2.7572;0.9,-0.9
3.06967,4.80674,2.4872;0.9,-0.9
2.88009,4.99784,2.2172;0.9,-0.9
2.74835,5.23258,1.9472;0.9,0
2.64911,5.48368,1.9472;0.9,0
2.54986,5.73478,1.9472;0.9,0
2.45062,5.98588,1.9472;0.9,0
2.35137,6.23697,1.9472;0.9,0
2.25213,6.48807,1.9472;0.9,0
2.15288,6.73917,1.9472;0.9,0
2.05364,6.99027,1.9472;0.9,0
1.95439,7.24137,1.9472;0.9,0
1.85514,7.49247,1.9472;0.9,0
1.7559,7.74356,1.9472;0.6,0.9
1.66807,7.90006,2.2172;-0.9,-0.9
1.79981,7.66532,1.9472;0,0.9
1.79981,7.66532,2.2172;0.6,-0.9
1.71199,7.82181,1.9472;0,0.9
1.71199,7.82181,2.2172;0,0.9
